#-1200000	250000		0	11,Helvetica,black	TC	WANT
#900000		580000		0	11,Helvetica,black	TC	EANT
#0			-960000		0	9,Helvetica,black	TC	RIS
#0			-1500000	0	9,Helvetica,black	TC	RS
#-900000		-900000		0	9,Helvetica,black	TC	MBL
#275000		-560000		0	7,Helvetica,black	TC	TAM

-1500000	600000		0	14,Helvetica,black	TC	West
-1500000	200000		0	14,Helvetica,black	TC	Antarctica

900000		1000000		0	14,Helvetica,black	TC	East
900000		600000		0	14,Helvetica,black	TC	Antarctica

-150000		-800000		0	14,Helvetica,black	TC	RIS

-200000		-1400000	0	12,Helvetica,black	TC	Ross
-200000		-1700000	0	12,Helvetica,black	TC	Sea

#-1300000	-550000		0	12,Helvetica,black	TC	Marie
#-1300000	-850000		0	12,Helvetica,black	TC	Byrd
#-1300000	-1150000	0	12,Helvetica,black	TC	Land

