#-1200000	250000		0	11,Helvetica,black,-=1.2p,white	TC	WANT
#900000		580000		0	11,Helvetica,black,-=1.2p,white	TC	EANT
#0			-960000		0	9,Helvetica,black,-=1.2p,white	TC	RIS
#0			-1500000	0	9,Helvetica,black,-=1.2p,white	TC	RS
#-900000		-900000		0	9,Helvetica,black,-=1.2p,white	TC	MBL
#275000		-560000		0	7,Helvetica,black,-=1.2p,white	TC	TAM

-1500000	600000		0	14,Helvetica,black,-=3p,white	TC	West
-1500000	200000		0	14,Helvetica,black,-=3p,white	TC	Antarctica

900000		1000000		0	14,Helvetica,black,-=3p,white	TC	East
900000		600000		0	14,Helvetica,black,-=3p,white	TC	Antarctica

#-150000		-800000		0	14,Helvetica,black,-=3p,white	TC	RIS

#-200000		-1400000	0	12,Helvetica,black,-=3p,white	TC	Ross
#-200000		-1700000	0	12,Helvetica,black,-=3p,white	TC	Sea

#-1300000	-550000		0	12,Helvetica,black,-=3p,white	TC	Marie
#-1300000	-850000		0	12,Helvetica,black,-=3p,white	TC	Byrd
#-1300000	-1150000	0	12,Helvetica,black,-=3p,white	TC	Land
