susc,window,bin,count,misfit_590,misfit_650,misfit_rs_avg
1.2,26000.0,36000.0,40.0,761.6980298782782,383.0113549013638,572.354692389821
2.0,20000.0,40000.0,0.0,801.8503847143268,997.8024090857756,899.8263969000511
2.0,20000.0,20000.0,20.0,703.4951701570881,1200.3022746368172,951.8987223969526
2.0,40000.0,40000.0,40.0,1333.484865270556,984.8918233460784,1159.188344308317
2.0,40000.0,40000.0,20.0,1333.484865270556,984.8918233460784,1159.188344308317
2.0,40000.0,40000.0,0.0,1333.484865270556,1061.1241146574266,1197.3044899639913
2.0,20000.0,20000.0,0.0,1294.9008985200414,1242.2293548063506,1268.565126663196
2.0,40000.0,20000.0,40.0,1396.123878010418,1179.6414134413678,1287.8826457258929
2.0,40000.0,20000.0,0.0,1401.854547943019,1298.199194604434,1350.0268712737266
2.0,40000.0,20000.0,20.0,1531.2449194101541,1288.5435525862786,1409.8942359982163
0.0,40000.0,40000.0,0.0,1969.0232675787006,1142.1555225932473,1555.589395085974
0.0,40000.0,40000.0,20.0,1969.0232675787006,1142.1555225932473,1555.589395085974
0.0,40000.0,40000.0,40.0,1969.0232675787006,1142.1555225932473,1555.589395085974
0.0,40000.0,20000.0,0.0,1932.6600137084179,1205.04820179225,1568.854107750334
0.0,40000.0,20000.0,20.0,1932.6600137084179,1205.048202667287,1568.8541081878525
0.0,40000.0,20000.0,40.0,1932.6600137084179,1216.4313777370346,1574.5456957227261
0.0,20000.0,20000.0,0.0,1983.9933341878852,1208.581414672733,1596.2873744303092
0.0,20000.0,20000.0,20.0,1983.9933341878852,1212.4892634914281,1598.2412988396568
0.0,20000.0,20000.0,40.0,1983.7632664210985,1220.2997852462584,1602.0315258336784
0.0,20000.0,40000.0,40.0,2008.7460411114373,1216.285399111496,1612.5157201114666
0.0,20000.0,40000.0,20.0,2008.7460411114373,1216.285399111496,1612.5157201114666
0.0,20000.0,40000.0,0.0,2008.7460411114373,1216.285399111496,1612.5157201114666
4.0,20000.0,40000.0,0.0,1898.1795321481197,2193.871853680964,2046.0256929145417
4.0,40000.0,40000.0,20.0,2358.1184900786943,2158.2739617710904,2258.196225924892
4.0,40000.0,40000.0,40.0,2358.1184900786943,2158.5583532212295,2258.3384216499617
4.0,40000.0,40000.0,0.0,2358.1184900786943,2310.380968681001,2334.249729379848
4.0,40000.0,20000.0,40.0,2552.110705878081,2269.5214118800736,2410.816058879077
4.0,20000.0,20000.0,0.0,2482.593707592285,2537.776531218724,2510.1851194055043
4.0,40000.0,20000.0,20.0,2680.7563833569184,2445.987721827905,2563.372052592412
4.0,40000.0,20000.0,0.0,2953.6855741734817,2504.0099092784567,2728.847741725969
0.0,0.0,0.0,0.0,,,
0.0,0.0,0.0,20.0,,,
0.0,0.0,0.0,40.0,,,
0.0,0.0,20000.0,0.0,,,
0.0,0.0,20000.0,20.0,,,
0.0,0.0,20000.0,40.0,,,
0.0,0.0,40000.0,0.0,,,
0.0,0.0,40000.0,20.0,,,
0.0,0.0,40000.0,40.0,,,
0.0,20000.0,0.0,0.0,,,
0.0,20000.0,0.0,20.0,,,
0.0,20000.0,0.0,40.0,,,
0.0,40000.0,0.0,0.0,,,
0.0,40000.0,0.0,20.0,,,
0.0,40000.0,0.0,40.0,,,
2.0,0.0,0.0,0.0,,,
2.0,0.0,0.0,20.0,,,
2.0,0.0,0.0,40.0,,,
2.0,0.0,20000.0,0.0,,,
2.0,0.0,20000.0,20.0,,,
2.0,0.0,20000.0,40.0,,,
2.0,0.0,40000.0,0.0,,,
2.0,0.0,40000.0,20.0,,,
2.0,0.0,40000.0,40.0,,,
2.0,20000.0,0.0,0.0,,,
2.0,20000.0,0.0,20.0,,,
2.0,20000.0,0.0,40.0,,,
2.0,20000.0,20000.0,40.0,,883.5939871040358,
2.0,20000.0,40000.0,20.0,,918.5850269536185,
2.0,20000.0,40000.0,40.0,,,
2.0,40000.0,0.0,0.0,,,
2.0,40000.0,0.0,20.0,,,
2.0,40000.0,0.0,40.0,,,
4.0,0.0,0.0,0.0,,,
4.0,0.0,0.0,20.0,,,
4.0,0.0,0.0,40.0,,,
4.0,0.0,20000.0,0.0,,,
4.0,0.0,20000.0,20.0,,,
4.0,0.0,20000.0,40.0,,,
4.0,0.0,40000.0,0.0,,,
4.0,0.0,40000.0,20.0,,,
4.0,0.0,40000.0,40.0,,,
4.0,20000.0,0.0,0.0,,,
4.0,20000.0,0.0,20.0,,,
4.0,20000.0,0.0,40.0,,,
4.0,20000.0,20000.0,20.0,,1561.8972716179808,
4.0,20000.0,20000.0,40.0,,,
4.0,20000.0,40000.0,20.0,,,
4.0,20000.0,40000.0,40.0,,,
4.0,40000.0,0.0,0.0,,,
4.0,40000.0,0.0,20.0,,,
4.0,40000.0,0.0,40.0,,,
