Distance,Distance_36k,Line,ANTOSTRAT_basement,bedmap2_bed,Susc,Window_Width,x,y,Depth,Depth_filtered,Depth_36k,binned,counts,oib_basement,oib_basement_filt,filt_clip
33000.0,0.0,404.65,,-731.989745544488,15.300301803618774,7089.661945,-437268.558142284,-1087716.988768135,-8565.208251621534,-8565.208251621534,-2018.7730175535175,0.0,44.0,-1989.0823797244395,-2202.994622074178,-2202.994622074178
38000.0,36000.0,404.65,,-704.5011943569775,12.965709840464934,8153.111236749999,-432145.60479101003,-1087775.32096722,-6810.631591526095,-6810.631591526095,-1713.9955329329355,0.0,72.0,-1698.4364164296612,-1893.6424967696682,-1893.6424967696682
43000.0,36000.0,404.65,,-662.3468950003695,3.5951930339238354,9925.526723,-426231.4408197265,-1087844.277167485,-4121.74731427557,-4121.74731427557,-1476.9463782280382,0.0,72.0,-1445.2027771543464,-1621.7026954846215,-1621.7026954846215
48000.0,36000.0,404.65,,-632.723622742232,2.0549828852755248,4608.28026425,-421345.01200152095,-1087902.9320572698,-3267.004150242695,-3267.004150242695,-1206.0330585652987,0.0,72.0,-1229.3814618984948,-1387.1752182190385,-1387.1752182190385
53000.0,36000.0,404.65,,-615.056439778296,1.8984591410070175,2835.864778,-417001.075660738,-1087962.330898555,-1977.9508665959775,-1977.9508665959775,-1036.7122337760861,0.0,72.0,-1050.9724706621068,-1190.0600649729188,-1190.0600649729188
58000.0,36000.0,404.65,,-578.9090321478375,27.687119272625452,9216.5605285,-411678.89784487453,-1088015.563794565,-4295.325683410176,-4295.325683410176,-958.9195013712322,0.0,72.0,-909.9758034451822,-1030.3572357462624,-1030.3572357462624
63000.0,36000.0,404.65,,-532.140854074019,1.391743386662605,3190.3478752500005,-406564.04707417055,-1088096.5543185151,-1603.21020498788,-1603.21020498788,-929.231379456143,0.0,72.0,-806.3914602477209,-907.9865978369429,-907.9865978369429
68000.0,36000.0,404.65,,-467.61670647422795,6.385823686953596,1772.41548625,-401254.2052770225,-1088120.79708944,-1678.340209868085,-1678.340209868085,-911.4185063070896,0.0,72.0,-740.219441069723,-820.2236393726589,-820.2236393726589
73000.0,72000.0,404.65,,-387.8273186275635,9.53970163321755,8862.07743125,-396760.03803655354,-1088185.301278045,-1720.2866209994452,-1720.2866209994452,-875.7927600089827,0.0,84.0,-710.9789496984295,-763.0617252470847,-763.0617252470847
78000.0,72000.0,404.65,,-294.692709600793,25.696428314180334,6735.1788477499995,-391562.8420150005,-1088256.8700022749,-5464.285522236849,-5464.285522236849,-754.0714601571173,0.0,84.0,-702.8037111127908,-732.4942203538949,-732.4942203538949
83000.0,72000.0,404.65,,-243.487789079678,1.13138005612813,4962.7633615,-385267.5841372333,-1088324.2435518466,-2499.8905434984567,-2499.8905434984567,-748.6286378060175,0.0,84.0,-708.000985908662,-724.5144895867637,-724.5144895867637
88000.0,72000.0,404.65,,-227.294451077056,1.24283488659812,4962.7633615,-382876.55962388666,-1088348.3286763034,-2668.2342121124134,-2668.2342121124134,-747.6390337421811,0.0,84.0,-726.5707740860431,-735.1158978393656,-735.1158978393656
93000.0,72000.0,404.65,,-230.9840140508085,5.0904582516999,7444.14504225,-375649.8353874,-1088435.550865645,-3013.99987779053,-3013.99987779053,-785.7430053091858,0.0,84.0,-758.5130756449338,-760.3719427075015,-760.3719427075015
98000.0,72000.0,404.65,,-252.179904990456,34.54109643309898,9216.5605285,-371679.48317608354,-1088472.575492905,-5315.926147241975,-5315.926147241975,-863.9652474216368,0.0,84.0,-803.8278905853344,-799.0005009571473,-799.0005009571473
103000.0,84000.0,404.65,,-250.48874066620033,47.79298789355547,8743.916398833333,-367322.168970526,-1088506.97311725,-7511.416340850759,-7511.416340850759,-866.9282111380176,0.0,73.0,-862.515218907245,-847.4139718269107,-847.4139718269107
108000.0,96000.0,404.65,,-250.29940990587068,32.31442455972824,8980.238463666667,-363474.101492807,-1088539.56363163,-6838.88932264491,-6838.88932264491,-868.1133966245698,0.0,62.0,-934.5750606106652,-898.4371537940073,-898.4371537940073
113000.0,108000.0,404.65,,-246.4979874774965,1.78152242587135,9216.5605285,-356825.4783305825,-1088632.27053359,-2173.276489147805,-2173.276489147805,-878.1874732602643,0.0,51.0,-998.4818111272423,-944.8948453356529,-944.8948453356529
118000.0,108000.0,404.65,,-240.2462815362955,36.00572120054661,8862.07743125,-352149.013395492,-1088664.262836265,-5516.59106422721,-5516.59106422721,-903.0763684778623,0.0,51.0,-1032.709865888623,-979.6118449290631,-979.6118449290631
123000.0,108000.0,404.65,,-249.9974399247615,2.38891050488566,6735.17884775,-346276.14675191103,-1088748.751656205,-1649.3039549862801,-1649.3039549862801,-1016.8541751868818,0.0,51.0,-1037.2592248948074,-995.4129510514535,-995.4129510514535
128000.0,108000.0,404.65,,-308.473417021773,1.35612839876356,3781.1530373333335,-339966.4109449147,-1088848.3139593534,-2077.3253579662332,-2077.3253579662332,-953.2257547460146,0.0,51.0,-1012.1298881457956,-985.1229621800398,-985.1229621800398
133000.0,108000.0,404.65,,-337.679362548748,1.50133794802351,6144.373685666667,-337685.2868933563,-1088893.8020371567,-2916.0110675725764,-2916.0110675725764,-935.0964268485122,0.0,51.0,-957.3218556415877,-945.1542775534298,-945.1542775534298
138000.0,108000.0,404.65,,-391.7461574826925,1.379582619898255,5671.729556,-333498.94769415003,-1088952.78651642,-2880.74475084203,-2880.74475084203,-889.7731071047564,0.0,51.0,-872.8351273821831,-879.4746323673335,-879.4746323673335
143000.0,126000.0,404.65,,-385.671966739695,13.88600141332177,8862.07743125,-326748.03920307546,-1088974.923771115,-4510.4964597699,-4510.4964597699,-672.2211723347282,0.0,45.0,-758.6697033675824,-800.2352156586122,-800.2352156586122
148000.0,144000.0,404.65,,-398.1781653094996,1.2551514761160438,2304.140132125,-320847.59165797825,-1089008.0775074488,-809.4626769392263,-809.4626769392263,-577.042200872841,0.0,39.0,-638.6319947720448,-719.8351999138595,-719.8351999138595
