x,y,Line,bedmap2_bed,Distance,Susc,Window_Width,Depth,data/results/rosetta_lindeque_basement_g80kfilt.nc,Distance_36k,Depth_36k
349757.383009,-1030341.02497,590.0,-382.660823138,6230.64648438,42.1723796858,27881.6526513,-12291.6650386,-2124.49272197,,
347455.366609,-1030358.08099,590.0,-418.678187009,8532.73046875,0.471317715693,5380.6698099,-658.445190372,-2189.50989235,,
347363.075985,-1030358.97131,590.0,-420.121192601,8625.02539063,16.2037528053,19076.9202351,-8335.45996061,-2192.25143757,0.0,-8335.45996061
347282.942551,-1030359.79773,590.0,-421.374034795,8705.16308594,29.9096085113,31794.8670585,-9924.05859337,-2194.6441172,,
346664.683895,-1030364.80199,590.0,-431.056297996,9323.44335938,30.8372641509,27881.6526513,-12302.2880855,-2213.46530198,,
346639.270043,-1030364.90121,590.0,-431.455112404,9348.85742188,22.2868714155,14185.4022261,-9691.96289025,-2214.25185427,0.0,-9691.96289025
346580.574841,-1030365.01491,590.0,-432.376830921,9407.55273438,2.86867103732,17120.3130315,-2358.98461902,-2216.07202884,0.0,-2358.98461902
346471.379706,-1030365.2115,590.0,-434.074670378,9516.74804688,6.17676211454,18098.6166333,-4433.9716795,-2219.47181061,0.0,-4433.9716795
346454.180627,-1030365.27434,590.0,-434.334378828,9533.94726563,0.796703113311,7337.2770135,-1062.85522454,-2220.00893422,,
346444.491303,-1030365.32453,590.0,-434.48061428,9543.63671875,52.8367176461,33751.4742621,-13393.8662104,-2220.31173846,,
346344.172699,-1030365.90262,590.0,-435.994310992,9643.95703125,2.1742601145,7337.2770135,-1933.35473623,-2223.45482912,0.0,-1933.35473623
346146.148266,-1030367.64099,590.0,-438.978783651,9841.98925781,8.25397514754,27881.6526513,-5143.96923807,-2229.70142231,,
346121.530551,-1030367.90591,590.0,-439.349495772,9866.60839844,1.14730903499,8315.5806153,-1314.29248039,-2230.4817971,,
345904.442411,-1030370.01909,590.0,-442.619240747,10083.7070313,5.63021725127,28859.9562531,-3363.44482407,-2237.39763596,,
345805.080022,-1030370.62697,590.0,-444.117536271,10183.0712891,1.76294455469,6358.9734117,-1611.85644522,-2240.58251437,0.0,-1611.85644522
345703.898887,-1030371.17439,590.0,-445.643542914,10284.2539063,13.4390709417,23968.4382441,-8205.91894499,-2243.83799081,0.0,-8205.91894499
345618.561359,-1030371.65247,590.0,-446.930416158,10369.5927734,12.1754446846,29838.2598549,-6745.21093723,-2246.5932146,,
345558.394341,-1030371.99076,590.0,-447.837666859,10429.7607422,13.7892652315,24946.7418459,-7630.28515595,-2248.54087196,0.0,-7630.28515595
345436.700266,-1030372.72291,590.0,-450.1383796,10551.4570313,4.1477033289,27881.6526513,-1420.89135734,-2252.49283533,,
345323.380186,-1030373.56583,590.0,-452.680781118,10664.7802734,14.3697323581,26903.3490495,-8216.41699187,-2256.18781175,,
345208.754103,-1030374.4992,590.0,-455.252876374,10779.4101563,115.77498961,24946.7418459,-18618.6230462,-2259.93938974,0.0,-18618.6230462
345133.0711,-1030375.1197,590.0,-456.951578032,10855.0957031,24.406996509,28859.9562531,-10979.1425777,-2262.42380337,,
345041.127048,-1030375.88841,590.0,-459.015702774,10947.0429688,9.30287278697,30816.5634567,-5268.71972635,-2265.44969955,,
345017.735301,-1030376.0856,590.0,-459.540926354,10970.4355469,5.30054702435,14185.4022261,-4341.93359356,-2266.22084059,0.0,-4341.93359356
345002.325648,-1030376.2101,590.0,-459.886966473,10985.8457031,11.0889556147,20055.2238369,-6591.0244138,-2266.72911501,0.0,-6591.0244138
344998.953682,-1030376.23663,590.0,-459.962692383,10989.2177734,5.14844360402,10272.1878189,-3867.19531233,-2266.84036503,0.0,-3867.19531233
344943.928042,-1030376.66962,590.0,-461.198531628,11044.2451172,30.9304671266,32773.1706603,-10034.9804684,-2268.6573199,,
344748.040435,-1030377.91448,590.0,-465.600450893,11240.1367188,3.27604417754,11250.4914207,-3415.60742172,-2275.14730277,0.0,-3415.60742172
344747.503335,-1030377.91759,590.0,-465.612523985,11240.6738281,1.88263093779,11250.4914207,-2263.89941395,-2275.16514336,0.0,-2263.89941395
344653.252349,-1030378.34305,590.0,-467.731638954,11334.9257813,1.97438596127,6358.9734117,-2217.90136708,-2278.2993291,0.0,-2217.90136708
344533.19676,-1030378.83776,590.0,-470.431500069,11454.9824219,1.87361646476,13207.0986243,-1979.08740224,-2282.30206678,0.0,-1979.08740224
344474.928112,-1030379.15862,590.0,-471.718789174,11513.2519531,70.9965672014,34729.7778639,-15304.4658197,-2284.24909211,,
344463.301446,-1030379.23853,590.0,-471.969508107,11524.8789063,22.0795715236,18098.6166333,-9766.83203088,-2284.6379458,0.0,-9766.83203088
343822.415206,-1030385.22967,590.0,-485.766854346,12165.7958984,6.68305990774,19076.9202351,-4926.64648417,-2306.22114352,0.0,-4926.64648417
343811.36059,-1030385.26958,590.0,-486.004848089,12176.8505859,9.50280629208,20055.2238369,-6626.36767552,-2306.59546482,0.0,-6626.36767552
343549.120815,-1030386.13577,590.0,-491.649827342,12439.0917969,1.07746544084,12228.7950225,-944.03417962,-2315.49297745,,
343256.195167,-1030387.23911,590.0,-497.810262306,12732.0195313,2.51500187017,13207.0986243,-2633.28027331,-2325.46765373,0.0,-2633.28027331
343138.284222,-1030387.76308,590.0,-500.277891592,12849.9316406,55.0870334968,26903.3490495,-15299.9326166,-2329.49174346,,
343105.298212,-1030387.90751,590.0,-500.968234652,12882.9179688,0.56342359062,489.1518009,-500.968234652,-2330.61826149,,
343088.124501,-1030387.97109,590.0,-501.327732709,12900.0917969,3.698698934,16142.0094297,-4675.93212871,-2331.20485362,0.0,-4675.93212871
343071.857035,-1030388.03131,590.0,-501.668260319,12916.359375,10.9609020447,21033.5274387,-6353.097656,-2331.76056845,0.0,-6353.097656
342680.592351,-1030389.74375,590.0,-509.856791432,13307.6279297,7.89652927853,14185.4022261,-5811.18798805,-2345.14614299,0.0,-5811.18798805
342580.584798,-1030390.24058,590.0,-511.949376038,13407.6367188,11.0066816973,15163.7058279,-6716.90478489,-2348.57203001,0.0,-6716.90478489
342556.975716,-1030390.35811,590.0,-512.443377008,13431.2460938,6.30383332641,16142.0094297,-4828.67578105,-2349.38096044,0.0,-4828.67578105
342554.166182,-1030390.37253,590.0,-512.502161222,13434.0556641,15.117879852,29838.2598549,-8844.61718716,-2349.47723035,,
342413.771964,-1030391.16604,590.0,-515.515981959,13574.4521484,49.9919000914,22011.8310405,-14661.0722651,-2354.29496351,0.0,-14661.0722651
