Distance,Distance_36k,Line,bedmap2_bed,Susc,Window_Width,x,y,Depth,Depth_filtered,Depth_36k,binned,counts,rs_basement,rs_basement_filt,filt_clip
33000.0,0.0,20.0,-741.0436715369715,3.393656491563465,18401.4930441,-210918.694632887,-460376.18129217904,-4662.53222636619,-4662.53222636619,-1019.7911528840826,0.0,128.0,-1621.5342805518776,-1409.9444123400751,-1409.9444123400751
38000.0,36000.0,20.0,-764.3439572164275,2.646168621685645,20541.201537599998,-216139.661425449,-460384.04303451546,-3093.390258647155,-3093.390258647155,-1418.4999316281235,0.0,161.0,-1851.2305181825686,-1666.024763442527,-1666.024763442527
43000.0,36000.0,20.0,-789.376146462299,31.938217417504802,14550.0177558,-221129.24802484253,-460396.674176556,-10882.976195877105,-10882.976195877105,-1848.6857192203781,0.0,161.0,-2028.1585288697377,-1869.3368876014574,-1869.3368876014574
48000.0,36000.0,20.0,-826.8629827076049,12.799081279611006,21825.0266337,-226181.353511825,-460408.8089066575,-9764.94189415808,-9764.94189415808,-2058.532444875136,0.0,161.0,-2152.318312613385,-2019.8807848168653,-2019.8807848168653
53000.0,36000.0,20.0,-847.7874446337587,1.7828915600843624,18187.52219475,-231253.681537193,-460417.764554653,-5346.241576928429,-5346.241576928429,-2226.409825398943,0.0,161.0,-2223.70986941351,-2117.6564550887515,-2117.6564550887515
58000.0,36000.0,20.0,-876.1056374714569,3.62498155805835,15405.9011532,-236747.82441105752,-460424.7359571755,-4835.374755657075,-4835.374755657075,-2203.680626058778,0.0,161.0,-2242.3331992701137,-2162.6638984171163,-2162.6638984171163
63000.0,36000.0,20.0,-884.804218102541,16.79223594256506,20541.201537599998,-240800.516471684,-460427.3332727875,-8748.354491849555,-8748.354491849555,-2186.4650153009115,0.0,161.0,-2208.1883021831945,-2155.213411496647,-2155.213411496647
68000.0,36000.0,20.0,-911.1145281148374,3.76279351259247,17545.609646700002,-246138.74880201247,-460426.1750548245,-4341.742187314815,-4341.742187314815,-2040.1323238590435,0.0,161.0,-2121.2751781527545,-2105.855081946755,-2105.855081946755
73000.0,72000.0,20.0,-940.377466559376,11.768630257252084,23964.7351272,-251265.89177644998,-460423.63819441246,-6313.172363027716,-6313.172363027716,-1966.9659781381097,0.0,104.0,-1983.4556073469232,-2030.1037445018671,-2030.1037445018671
78000.0,72000.0,20.0,-966.0686555735555,4.2386253480591805,13266.192659699998,-256175.12603547,-460417.680514839,-3770.73095686586,-3770.73095686586,-1756.0747463542411,0.0,104.0,-1856.1683353140327,-1943.4742338964113,-1943.4742338964113
83000.0,72000.0,20.0,-995.3342469544407,2.16881168959355,11269.1313991,-263265.64527005,-460410.78226279834,-2993.799072127173,-2993.799072127173,-1722.3608419534185,0.0,104.0,-1769.2018447441847,-1861.4813848648143,-1861.4813848648143
88000.0,72000.0,20.0,-1000.5956807551103,1.94927219266894,9272.0701385,-265484.870648964,-460409.0964040227,-2884.8193358028266,-2884.8193358028266,-1720.9262077235962,0.0,104.0,-1722.5561356373785,-1799.6400321415038,-1799.6400321415038
93000.0,72000.0,20.0,-1002.0347299161275,5.80784873451916,15833.8428519,-271314.3759436865,-460405.19170476403,-7316.895019242926,-7316.895019242926,-1729.3218098407183,0.0,104.0,-1716.2312079936135,-1773.1547137662183,-1773.1547137662183
98000.0,72000.0,20.0,-991.0356565795,3.346700775600535,23536.7934285,-276002.3352413905,-460402.32709804596,-5881.183593511445,-5881.183593511445,-1757.5900879135397,0.0,104.0,-1750.227061812891,-1786.9901768539742,-1786.9901768539742
103000.0,72000.0,20.0,-978.8461812230164,3.12579936725958,13694.1343584,-281317.89965847146,-460400.7652952955,-5977.937499758091,-5977.937499758091,-2049.695627999364,0.0,104.0,-1824.5436970952096,-1841.1464214047726,-1841.1464214047726
108000.0,84000.0,20.0,-959.06211305758,7.068264968276381,13551.4871255,-286478.16679032735,-460397.13524613436,-7531.159504912579,-7531.159504912579,-2085.8162055368584,0.0,113.0,-1939.1811138405697,-1935.623447418612,-1935.623447418612
113000.0,96000.0,20.0,-954.811107905139,11.49436282658684,12980.898193899999,-289099.4311873087,-460395.22202356765,-9732.76725223209,-9732.76725223209,-2088.9571253227277,0.0,122.0,-2094.139312048972,-2070.4212548954933,-2070.4212548954933
18000.0,0.0,20.0,-525.355178957901,6.64573393732857,21825.0266337,-196132.88606381,-460371.73097537295,-3343.5761717244204,-3343.5761717244204,-615.8362059986729,1.0,128.0,,,
54000.0,36000.0,20.0,-848.8997147990765,2.273637439219515,17973.5513454,-231608.339178593,-460418.247312172,-6120.965087643759,-6120.965087643759,-2231.655993540312,1.0,161.0,,,
90000.0,72000.0,20.0,-1006.128758563905,5.03124435053196,13694.1343584,-267971.9748549445,-460407.2352744785,-5791.084838631759,-5791.084838631759,-1715.1876708043073,1.0,104.0,,,
126000.0,108000.0,20.0,-988.332012076444,6.40278836962846,19685.318140199997,-304108.9715274265,-460371.537150656,-6995.971679410301,-6995.971679410301,-2685.7318846378525,1.0,131.0,,,
33000.0,0.0,50.0,-936.8282102339081,17.455913889119778,22441.0194356,-262572.8986563545,-490266.87590183597,-8000.568359062985,-8000.568359062985,-3399.7492876266115,0.0,85.0,-3266.0182342745807,-3351.7018730287577,-3351.7018730287577
38000.0,36000.0,50.0,-922.8283321981146,5.125558128480595,17074.688701,-257520.42971782,-490262.2016153565,-4102.482299627795,-4102.482299627795,-2728.515712048391,0.0,69.0,-3090.5527037909665,-3176.7951952235885,-3176.7951952235885
43000.0,36000.0,50.0,-905.0374687192925,4.38809507730031,18538.2334468,-253209.539463457,-490259.73873397755,-6533.153075910715,-6533.153075910715,-2683.766807009843,0.0,69.0,-2913.9694679504637,-3000.77081206153,-3000.77081206153
48000.0,36000.0,50.0,-865.162047636377,3.969723072167735,16098.9922038,-247818.694270496,-490250.20969264896,-6427.158691148785,-6427.158691148785,-2650.205128230932,0.0,69.0,-2736.268526753071,-2823.628723542582,-2823.628723542582
53000.0,36000.0,50.0,-842.801063675031,1.25652020041975,15611.143955200001,-242569.16469516448,-490243.4495856855,-3250.21997055578,-3250.21997055578,-2571.894544413473,0.0,69.0,-2557.4498801987897,-2645.368929666745,-2645.368929666745
58000.0,36000.0,50.0,-850.38776293173,2.945170613934835,16586.8404524,-238331.5449565625,-490234.775205442,-6591.132079814955,-6591.132079814955,-2097.067736425154,0.0,69.0,-2377.513528287619,-2465.991430434019,-2465.991430434019
63000.0,36000.0,50.0,-831.109239210193,7.14872127213033,24880.2606786,-232384.30078302952,-490226.974780084,-11701.509276903449,-11701.509276903449,-1959.397155943007,0.0,69.0,-2196.4594710195597,-2285.6687871884974,-2285.6687871884974
68000.0,36000.0,50.0,-816.8792785955116,5.388122999958441,20977.4746898,-228364.64059635001,-490223.85596793704,-9735.077636346585,-9735.077636346585,-1913.5069624489581,0.0,69.0,-2014.2877083946107,-2110.2680856293646,-2110.2680856293646
73000.0,54000.0,50.0,-812.3502529112385,7.134944752098744,18050.385198199998,-224598.75031027652,-490222.619725365,-8708.335937163436,-8708.335937163436,-1890.5618657019336,0.0,64.5,-1832.0336084773348,-1948.4173929613032,-1948.4173929613032
78000.0,72000.0,50.0,-820.870208510299,2.234430910252685,14147.5992094,-217732.6536058435,-490220.09281526005,-4508.025512504365,-4508.025512504365,-1684.0559949787134,0.0,60.0,-1683.8643173982746,-1808.7447763889961,-1808.7447763889961
83000.0,72000.0,50.0,-807.117648173804,3.291668138558725,12684.054463600001,-212606.978130353,-490219.7450286615,-4719.365234176725,-4719.365234176725,-1592.2756079906158,0.0,60.0,-1586.3457241904216,-1699.8783031171254,-1699.8783031171254
88000.0,72000.0,50.0,-796.5474000694333,12.970182237552995,15123.2957066,-208553.93234360527,-490220.632074283,-10340.64379843495,-10340.64379843495,-1546.3854144965667,0.0,60.0,-1539.4778288537752,-1630.4460403503742,-1630.4460403503742
93000.0,72000.0,50.0,-778.164540219535,14.187615197198927,24392.412429999997,-201958.1535954035,-490219.51790266344,-7442.798827832285,-7442.798827832285,-1554.6648928594673,0.0,60.0,-1543.2606313883355,-1608.903493949331,-1608.903493949331
98000.0,72000.0,50.0,-767.6902545954506,4.220273018660125,14635.447457999999,-197535.779706514,-490220.170175886,-4203.23290997587,-4203.23290997587,-1617.8713784159884,0.0,60.0,-1597.6941317941028,-1638.011645419495,-1638.011645419495
103000.0,72000.0,50.0,-737.9337622988965,2.162986958170555,14635.447457999999,-192632.4110433085,-490219.29878685053,-2464.127441286155,-2464.127441286155,-1783.7884030018558,0.0,60.0,-1702.7783300710769,-1717.7704947608654,-1717.7704947608654
108000.0,90000.0,50.0,-702.224521016002,113.069279361649,23904.564181399997,-188049.342617523,-490218.63544355147,-15001.21191350775,-15001.21191350775,-1886.4989420312027,0.0,96.0,-1858.5132262192574,-1848.180041973443,-1848.180041973443
113000.0,108000.0,50.0,-649.6071739479121,34.13124428559555,18050.385198199998,-182594.89789940702,-490216.8040814335,-9323.308593392116,-9323.308593392116,-2139.3248842572866,0.0,132.0,-2064.8988202386454,-2029.240287057227,-2029.240287057227
18000.0,0.0,50.0,-975.7072252479395,9.831189349389101,19026.0816954,-277681.95659014245,-490263.4061087755,-11296.47656207373,-11296.47656207373,-3785.7085935840882,1.0,85.0,,,
54000.0,36000.0,50.0,-843.2725139922295,2.0226372236306203,13171.9027122,-241817.951757407,-490241.787146574,-4423.6848142651,-4423.6848142651,-2521.5520262451064,1.0,69.0,,,
90000.0,72000.0,50.0,-791.9427588181154,16.35862978970993,15123.2957066,-206814.7298197695,-490220.36071720603,-10902.5180659936,-10902.5180659936,-1534.9128661230545,1.0,60.0,,,
126000.0,108000.0,50.0,-490.4202961204045,2.07597131888455,13659.7509608,-169635.828339434,-490248.991506698,-3547.525878748595,-3547.525878748595,-2838.5466307263,1.0,132.0,,,
33000.0,0.0,70.0,-798.136460320752,2.0444372870085603,7302.766051799999,-196016.240566121,-510350.1011141385,-3636.730834800195,-3636.730834800195,-1279.8280753885892,0.0,87.0,-1177.0520059042778,-1284.2742363918844,-1284.2742363918844
38000.0,18000.0,70.0,-804.262635091387,3.1532038328069154,8519.8937271,-199295.26751497702,-510351.320486146,-4426.71679668687,-4426.71679668687,-1271.8095033298227,0.0,75.0,-1114.9843651309143,-1201.4279383182688,-1201.4279383182688
43000.0,36000.0,70.0,-811.342319471656,3.1144973142299097,8114.184502,-206676.721963818,-510340.69844206,-4042.591796700185,-4042.591796700185,-1255.77235921229,0.0,63.0,-1094.4740389580554,-1160.1389548451577,-1160.1389548451577
48000.0,36000.0,70.0,-812.108594850992,2.8064374064915647,16228.369003999998,-210962.9744069085,-510330.648654322,-1915.8084103911751,-1915.8084103911751,-1247.7537871535235,0.0,63.0,-1115.5210273857012,-1160.407285972551,-1160.407285972551
53000.0,36000.0,70.0,-807.511803161639,4.68632374179204,15822.6597789,-215314.245984201,-510239.86548895447,-3670.161620931845,-3670.161620931845,-1207.6609268596915,0.0,63.0,-1178.1253304138515,-1202.232931700449,-1202.232931700449
58000.0,36000.0,70.0,-809.0388143910766,2.3708231599617653,12171.276752999998,-220162.8141814235,-509822.7205480425,-2298.44824207315,-2298.44824207315,-1470.4204600820694,0.0,63.0,-1282.286948042506,-1285.6158920288515,-1285.6158920288515
63000.0,36000.0,70.0,-819.6299967515115,2.096106152855125,21096.8797052,-225306.61894620402,-509888.46489565447,-3767.979003740955,-3767.979003740955,-2055.4516802915796,0.0,63.0,-1428.0058802716655,-1410.556166957759,-1410.556166957759
