Distance,Distance_36k,x,y,Line,bedmap2_bed,Susc,Window_Width,Depth,data/results/rosetta_lindeque_basement_g80kfilt.nc,Depth_filtered,Depth_36k,binned,counts,rs_basement,rs_basement_filt,filt_clip
33000.0,0.0,344102.4916445,-1090309.7975249998,650.0,-739.473687127,2.120772249815,12861.188193,-1256.7115470905,-1651.5553985699999,-1256.7115470905,-1389.0127470426364,0.0,125.0,-1054.4059285173387,-1040.9209862125006,-1040.9209862125006
38000.0,36000.0,338954.60966099997,-1090324.140615,650.0,-817.478995964,2.124243295965,9186.562995025,-3330.327636565,-1811.729422595,-3330.327636565,-1541.9782244912192,0.0,92.0,-1213.6776043890288,-1182.1515087302796,-1182.1515087302796
43000.0,36000.0,333971.8555255,-1090334.739175,650.0,-896.8189432710001,3.978669167155,22507.07933775,-5862.68286109,-1988.1193381150001,-5862.68286109,-1605.7138400947952,0.0,92.0,-1409.0315869685405,-1359.4643379558806,-1359.4643379558806
48000.0,36000.0,329056.231058,-1090429.7317849998,650.0,-946.0340517254999,1.627222513715,23425.73563725,-3297.338134615,-2182.68285848,-3297.338134615,-1860.6563025090995,0.0,92.0,-1640.4678762558747,-1572.8594738893034,-1572.8594738893034
53000.0,36000.0,324081.99765525,-1090675.1798899998,650.0,-966.28180882375,3.16881207921,21818.087113100002,-8450.9724117775,-2400.5372362274998,-8450.9724117775,-1962.6332874748214,0.0,92.0,-1907.9864722510301,-1822.3369165305483,-1822.3369165305483
58000.0,36000.0,318830.2731185,-1090933.10102,650.0,-992.6969507270001,3.29667577508,20210.438589,-9605.40673792,-2643.749875915,-9605.40673792,-2533.7051502263957,0.0,92.0,-2211.587374954008,-2107.8966658796153,-2107.8966658796153
63000.0,36000.0,314000.76878449996,-1091168.3714,650.0,-1025.46366503,1.45273395291,20210.438589,-6766.513427465,-2866.932599745,-6766.513427465,-3256.4679818263544,0.0,92.0,-2551.2705843648077,-2429.2479821665543,-2429.2479821665543
68000.0,43200.0,309708.321938,-1091372.85389,650.0,-1049.258275276,11.055091638268001,20302.304218920002,-9171.509765268,-2982.542321754,-9171.509765268,-3328.74426498635,0.0,94.8,-2927.0361004834294,-2776.5057132130737,-2776.5057132130737
73000.0,50400.0,305796.673475,-1091559.07205,650.0,-1070.1395233819999,20.716730165826,20853.497998640003,-11573.601073776,-3080.989470358,-11573.601073776,-3349.3946316034917,0.0,97.6,-3337.139484690175,-3135.132870521689,-3135.132870521689
78000.0,57600.0,301885.025012,-1091745.29021,650.0,-1091.020771488,30.378368693384,21404.69177836,-13975.692382284,-3179.436618962,-13975.692382284,-3370.0449982206337,0.0,100.4,-3724.014262534994,-3490.5924655949107,-3490.5924655949107
