Distance,Distance_rs,Distance_36k,Line,bedmap2_bed,Susc,Window_Width,x,y,Depth,Depth_filtered,Depth_36k,binned,counts,rs_basement,rs_basement_filt,filt_clip,filt_clip_oib,misfit,abs_misfit
14216.534977883044,33000.0,0.0,590.0,-730.08557839265,23.3303923198404,22500.9828414,322856.10274813196,-1030367.0448618,-10960.62304646035,-10960.62304646035,-2152.8698225835656,1.0,78.0,-1955.9247561514564,-2011.4085082146387,-2011.4085082146387,,,
18000.0,,,,,,,,,,,,,,,,,,,
18601.887037774304,38000.0,36000.0,590.0,-770.5877032862604,21.181561954534125,19076.9202351,318189.904393282,-1030361.399847865,-10028.09423789894,-10028.09423789894,-2226.5159865214428,1.0,165.0,-1997.5864222029027,-2032.2571056054746,-2032.2571056054746,,,
23561.639049962472,43000.0,36000.0,590.0,-844.0028659477271,69.50169458066675,25435.8936468,313045.7517808055,-1030355.83469674,-14687.47949164365,-14687.47949164365,-2285.432917671745,1.0,165.0,-2080.8742255755697,-2094.7318403175314,-2094.7318403175314,,,
28712.69786341556,48000.0,36000.0,590.0,-923.0408697959615,29.87103628127335,19566.072036,307772.8420282135,-1030351.4731648599,-11503.9047847228,-11503.9047847228,-2332.5664625919867,1.0,165.0,-2205.7881662694585,-2198.8327123508093,-2198.8327123508093,,,
33000.0,,,,,,,,,,,,,,,,,-3344.097243072305,,
33506.11961707993,53000.0,36000.0,590.0,-977.7162262266429,27.280388163909898,20544.3756378,302900.4986160925,-1030347.70135815,-11291.315429261402,-11291.315429261402,-2409.158473087379,1.0,165.0,-2372.3282442845684,-2344.5597217053087,-2344.5597217053087,-3347.0899435948313,-1002.5302218895226,1002.5302218895226
38000.0,,,,,,,,,,,,,,,,,-3350.082644117357,,
38075.64108352615,58000.0,36000.0,590.0,-1006.635101931615,3.8593429214113497,8315.5806153,298274.31003113254,-1030346.02459211,-3519.6217039448798,-3519.6217039448798,-2447.8087059351606,1.0,165.0,-2580.4944596208998,-2531.9128683810286,-2531.9128683810286,-3353.597377220603,-821.6845088395744,821.6845088395744
43000.0,,,,,,,,,,,,,,,,,-3357.112110323849,,
43350.03662660686,63000.0,36000.0,590.0,-1017.29098670914,4.142869202476935,20055.2238369,292949.47832904395,-1030344.827942995,-4934.039794716155,-4934.039794716155,-2998.032887556711,1.0,165.0,-2830.2868122784516,-2760.5686090164877,-2760.5686090164877,-3361.1488760078137,-600.580266991326,600.580266991326
48000.0,,,,,,,,,,,,,,,,,-3365.1856416917785,,
50641.437841345396,68000.0,48000.0,590.0,-990.0647551762767,7.182028457734201,11902.6938219,285606.055518164,-1030341.2401800433,-6591.146809632661,-6591.146809632661,-3813.45521077063,1.0,126.66666666666666,-3121.7053022572254,-3019.526469321269,-3019.526469321269,-3369.744439956464,-350.2179706351949,350.2179706351949
